day,left_side,right_side,price_l,price_r,ratio,euclidian,correl_t1,correl_t2,correl_t3,beta_t1,interc_t1,pvalue_t1,half_t1,sprd_last_t1,sprd_mean_t1,sprd_sd_t1,beta_t2,interc_t2,pvalue_t2,half_t2,sprd_last_t2,sprd_mean_t2,sprd_sd_t2,beta_t3,interc_t3,pvalue_t3,half_t3,sprd_last_t3,sprd_mean_t3,sprd_sd_t3,econ_rel,MCap_Classe,Setor,Subsetor,Segmento,Diffs
2019-12-17,ROMI3,YDUQ3,10.334574,44.777843,4.332819427293278,7.027633399157136,0.8219497876342391,0.45155076756336965,0.8322576482438364,0.25962604638348863,-0.0628487103825645,0.5207312420773152,41.24364107696364,-1.2280716332880097,-5.73083247523698e-17,0.9130609023109606,0.08024363850008956,6.529053851708235,0.05402645540138232,34.892555381589865,0.21238310178599762,-9.116991016300258e-17,0.6582589680415685,0.12620095504084694,4.552801452675449,0.01,4.699168300836689,0.1307659960554494,3.4086774201858015e-17,0.25196655822679864,0,Diff,Diff,Diff,Diff,4
2019-12-18,ROMI3,YDUQ3,10.599561,46.50713,4.387646809146152,7.5399875537735195,0.8209483578983504,0.4597429219164181,0.8469358986220595,0.2556246186302017,0.055549655990962565,0.5500966206165169,41.92209388671251,-1.344356025826178,6.115854350730032e-17,0.9166056904262867,0.0777074869185006,6.633092334139834,0.12815613041857526,28.258695629647562,0.3525164697681599,-1.6355840293247325e-17,0.6398335292258825,0.13004831479952314,4.405939382539511,0.01,4.62051793884409,0.14544773479814188,-1.3767199186220936e-17,0.2527421487800169,0,Diff,Diff,Diff,Diff,4
2019-12-19,ROMI3,YDUQ3,11.075185,48.014217,4.335297062757869,8.649547222840473,0.8213184190611563,0.4790735972507844,0.8654376233094059,0.2517250335382936,0.17260216817882354,0.533862663936921,43.39742579124925,-1.183797552818735,-4.119274366054526e-17,0.9187256470825225,0.07829060513702728,6.629479447116191,0.19581849446564914,24.938174302083333,0.686643448773267,3.178880769727499e-17,0.6310718040022227,0.1384502444480609,4.0851065876319295,0.0137350429231992,4.35660596271488,0.34249833173583066,-1.5938314036623157e-17,0.25824214075722346,0,Diff,Diff,Diff,Diff,4
2019-12-20,ROMI3,YDUQ3,11.109158,46.487804,4.184637935656329,8.650733305627503,0.8223838796502856,0.49059766524207005,0.8709890422039727,0.24931957536919339,0.24588759790474138,0.47089265190860297,45.0554183541325,-0.7270491510310326,-3.6769198796804406e-17,0.9190181692702621,0.07859935667954887,6.635488765637477,0.2529776157672673,23.14112521154615,0.8197577465175659,-1.2471881166709053e-16,0.6252995823047192,0.14647223066978363,3.7815986445470253,0.03145998074908806,4.409841765351164,0.518387004633285,-1.826880660638075e-18,0.2700186231693316,0,Diff,Diff,Diff,Diff,4
2019-12-23,ROMI3,YDUQ3,11.394529,47.337959,4.154446313665093,7.640568904775502,0.8240640214413189,0.5066181043516942,0.8795491040437742,0.2473811973067802,0.3045368893622968,0.46231817570409783,45.81571111794151,-0.6205288648415705,-8.485573355088149e-17,0.9195343118425722,0.08022773073948478,6.596025041020253,0.22264176809478076,23.044974648460634,1.0006869305709782,3.9501388271467876e-17,0.6236037252798158,0.15379669388010817,3.510514899329722,0.04902586393272918,4.588926703740931,0.6035925114381677,-1.552685931216491e-17,0.2829351350741192,0,Diff,Diff,Diff,Diff,4
2019-12-26,ROMI3,YDUQ3,11.911836,46.951523,3.9415857471509854,5.505860825654815,0.8269624850350055,0.5268566224781813,0.8748546347466655,0.24686352669381334,0.3222238904165036,0.40156759718595625,46.47159972621961,-0.0010064418421988283,-2.0616904035969016e-16,0.9191167066993293,0.0836317443513693,6.499507685060569,0.44038986847351846,19.104618005671497,1.4856905464959944,2.6333102365327932e-18,0.6273340768850167,0.16505636794307044,3.094088395445377,0.34398807925123487,4.263078485315098,1.0680997487790869,-1.214306433183765e-19,0.32050673332142426,0,Diff,Diff,Diff,Diff,4
2019-12-27,ROMI3,YDUQ3,11.79458,47.144741,3.9971530143506597,5.505855043512486,0.8292567656823736,0.5442464112440132,0.8781628200083726,0.24578331254153504,0.3575398130407795,0.41326994799542704,46.10050520450441,-0.1503504249335036,-5.3551564224707525e-17,0.9182845899753087,0.08638855412031007,6.422573511530476,0.4632616305750231,19.44707994618673,1.2992404791030234,8.465450562766818e-17,0.6297848545911395,0.1746034530497185,2.732749641580266,0.2781337322657075,5.297787078400754,0.8301957866850934,1.4391699637572587e-17,0.3436310342594763,0,Diff,Diff,Diff,Diff,4
2019-12-30,ROMI3,YDUQ3,12.104964,45.888836,3.790910571894307,4.96523464343178,0.8318381088753238,0.5565196033314979,0.8674363782640874,0.24610690059488935,0.3512503672528693,0.385611549882093,44.82047171944526,0.46015443287994856,2.3530548169670152e-17,0.9182679302835003,0.09023430097548545,6.307454326947088,0.7340533426443202,17.523456401136986,1.6567626340142232,-2.1370058500558288e-17,0.6427418349610227,0.18511611796181213,2.342004177013124,0.5566968974836957,5.146826758866511,1.2681966448806226,-7.199102425303749e-19,0.3901769845691081,0,Diff,Diff,Diff,Diff,4
2020-01-02,ROMI3,YDUQ3,11.891144,45.164276,3.7981438959952043,5.334069586487744,0.8336478371073751,0.5674056292346431,0.8612354556734135,0.2461824787746701,0.35277226485470087,0.38411470157670946,45.01328704307845,0.41971831740195414,4.664020905598143e-18,0.9180052875399931,0.09395264294563102,6.191545219002896,0.7118603397015291,18.961908503145455,1.4562956840711696,-2.9943061918835666e-17,0.6548017250925772,0.19229653930465987,2.0817225491120186,0.515551145596876,6.33223118712054,1.1244874758874732,-1.7867651802561114e-17,0.4217042587235154,0,Diff,Diff,Diff,Diff,4
2020-01-03,ROMI3,YDUQ3,11.739402,44.217518,3.7665903254697297,5.591392980109794,0.8352042869783314,0.5762347582289706,0.8530242034160702,0.24630379280086512,0.35338685140755344,0.3850097120057102,44.72036507372416,0.49507275695191955,-2.4373949039646625e-17,0.9177550160340663,0.09747659457652637,6.07895701017873,0.6853595272650166,20.073861957289733,1.350271914555012,-7.507883204027622e-18,0.6659699379838842,0.19658408658806376,1.9391649924221077,0.555677412677483,7.070283673704003,1.107776620356623,2.2772582430885534e-17,0.4478623502467201,0,Diff,Diff,Diff,Diff,4
